Ticker,ISIN,Name,Trading Region,Industry,Sector,Total Employees (FY),Market Cap,Enterprise Value,Price (1D Ago),Market Value,Shrs Out,Shares Out,Common Shares Outstanding (FY),Total Assets (FY),Total Liabilities (FY),Total Capital (FY),Total Equity (FY),Leverage Ratio % (FY),Total Debt (FY),Cash And Equivalents (FY),Total Debt / Equity (FY),Total Liabilities / Total Assets (FY),Return on Assets (ROA) % (FY),Return on Capital (ROC) % (FY),Return on Common Equity (ROCE) % (FY),Total Debt to Capital % (FY),Return On Equity % (FY),Total Revenues (FY),Gross Profit (FY),Operating Income (FY),Net Income - (IS) (FY),P/E (LTM),P/TBV (LTM),Book Value / Share (FY),EPS 5Y Fwd Growth (NTM),ROA - Est High (FY5E),ROE - Est High (FY5E),EV/Sales (EST FY5),EV/EBIT (EST FY6),Total Equity/CAGR (5Y FY),Total Assets/CAGR (5Y FY),Net Income/CAGR (5Y FY),Unit
2020,SA0007879139,SABIC Agri-Nutrients Company,Africa / Middle East,Chemicals,Materials,,14318.76,11782.49,111.6000,30.08,476035404.00,,476.04,6751.03,1735.34,5072.26,5015.69,,56.57,1131.78,0.0113,0.2570,0.0869,0.1131,0.1945,0.0112,0.1943,2943.74,1218.97,970.79,976.35,15.3,2.9,9.94,0.0808,,,,,,0.2163,0.1605,SAR
511218,INE721A01013,Shriram Finance Limited,Asia / Pacific,Consumer Finance,Financials,74645,13265.09,,2987.4000,35.30,375792810.00,,375.69,29794.86,23833.06,24089.87,5961.79,,18128.08,1340.87,3.0407,0.7999,0.0322,,0.1593,0.7525,0.1583,1902.32,1849.35,1195.34,884.05,15.0,2.4,15.64,0.1487,,,,,,0.1869,0.2339,INR
ALDAR,AEA002001013,Aldar Properties PJSC,Africa / Middle East,Real Estate Management and Development,Real Estate,,13035.18,15015.14,5.9900,1.66,7862629603.00,,7862.63,19835.58,9440.26,13936.21,10395.32,,3540.89,3190.26,0.3406,0.4759,0.0353,0.0490,0.1211,0.2541,0.1214,3855.31,1480.95,1030.27,1067.83,10.9,1.7,1.08,0.2142,,,,,,0.1358,0.1614,AED
002938,CNE100003GF5,Avary Holding(Shenzhen)Co. Limited,Asia / Pacific,Electronic Equipment Instruments and Components,Information Technology,41786,12653.55,11522.90,40.4700,5.48,2309090916.00,,,5956.52,1775.59,4777.26,4180.93,,596.33,1537.39,0.1426,0.2981,0.0485,0.0604,0.1142,0.1248,0.1141,4517.74,941.06,442.84,463.09,27.0,3.2,1.81,0.0670,,,,,,0.0910,0.0347,CNY
A042700,KR7042700005,HANMI Semiconductor Co. Ltd.,Asia / Pacific,Semiconductors and Semiconductor Equipment,Information Technology,,12088.93,11986.38,173700.0000,125.30,96479702.00,,96.82,558.66,117.27,442.25,441.39,,0.86,138.72,0.0020,0.2099,0.0366,0.0448,0.5554,0.0019,0.5554,122.72,61.13,26.68,206.20,80.2,26.3,4.56,,,,,,,0.2409,0.4023,KRW
IHH,MYL5225OO007,IHH Healthcare Berhad,Asia / Pacific,Health Care Providers and Services,Health Care,,11719.08,14017.67,6.2700,1.33,8807037463.00,,8806.99,10936.78,3885.89,9242.70,7050.89,,2191.81,518.41,0.3109,0.3553,0.0526,0.0629,0.1068,0.2371,0.1102,4561.66,1539.52,904.23,643.21,23.8,4.6,0.72,0.0424,,,,,,0.0220,0.3629,MYR
002736,CNE100001WS9,Guosen Securities Co. Ltd.,Asia / Pacific,Capital Markets,Financials,12027,11704.09,,8.8600,1.22,9612429377.00,,,65225.87,49663.37,51558.38,15562.50,,35995.88,1137.84,2.3130,0.7614,0.0150,,0.0474,0.6982,0.0591,2439.01,1409.61,981.97,905.53,19.2,1.0,1.18,,,,,,,0.1693,0.1343,CNY
300014,CNE100000GS4,EVE Energy Co. Ltd.,Asia / Pacific,Electrical Equipment,Industrials,27339,11539.73,13526.70,41.1300,5.65,2040763736.00,,,13293.60,7939.09,8458.75,5354.51,,3104.23,1480.21,0.5797,0.5972,0.0187,0.0291,0.1243,0.3670,0.1270,6873.06,1111.12,374.81,570.62,21.1,2.5,2.40,0.1138,,,,,,0.5656,0.4798,CNY
500490,INE118A01012,Bajaj Holdings & Investment Limited,Asia / Pacific,Financial Services,Financials,,11266.37,12283.51,8512.7000,101.23,111293510.00,,111.27,7820.10,262.83,7564.78,7557.27,,7.51,6.48,0.0010,0.0336,0.0163,0.0168,0.1477,0.0010,0.1286,205.64,204.98,184.74,872.15,12.9,1.7,58.51,,,,,,,0.1926,0.1898,INR
RDOR3,BRRDORACNOR8,Rede D'Or São Luiz S.A.,Latin America and Caribbean,Health Care Providers and Services,Health Care,,11215.61,12749.58,26.3900,4.97,2255118936.00,,2254.61,18623.07,13709.61,12946.58,4913.45,,8033.13,673.54,1.6349,0.7362,0.0386,0.0552,0.0928,0.6205,0.0908,9587.22,1560.78,1125.78,420.67,22.1,8.4,2.06,0.3700,,,,,,0.3655,0.1177,BRL
001979,CNE100002FC6,China Merchants Shekou Industrial Zone Holdings Co. Ltd.,Asia / Pacific,Real Estate Management and Development,Real Estate,52485,10970.14,54769.53,9.0600,1.21,9060836177.00,,,127998.61,86198.29,76901.93,41800.32,,35101.61,12439.00,0.8397,0.6734,0.0087,0.0146,0.0571,0.4564,0.0313,24656.59,3596.53,1767.86,890.34,12.9,0.8,1.53,-0.1043,,,,,,0.1649,-0.1614,CNY
1140,SA000A0D9HK3,Bank Albilad,Africa / Middle East,Banks,Financials,3787,10866.38,,32.6000,8.69,1250000000.00,,1240.00,38180.90,34110.00,,4070.89,,920.08,1832.79,,,0.0174,,0.1653,,0.1653,1328.40,1328.40,704.61,632.04,16.5,2.6,3.28,0.1300,,,,,0.1427,0.1421,0.3106,SAR
600926,CNE100002GQ4,Bank of Hangzhou Co. Ltd.,Asia / Pacific,Banks,Financials,13756,10574.06,,12.7700,1.78,5930285813.00,,,259422.75,243742.79,,15679.96,,63245.46,6031.61,,,0.0083,,0.1442,,0.1371,3730.49,3730.49,2228.74,2026.45,6.1,0.8,2.24,0.1440,,,,,0.1425,0.1486,0.2159,CNY
2207,TW0002207008,Hotai Motor Co.Ltd.,Asia / Pacific,Specialty Retail,Consumer Discretionary,,10483.62,19930.72,613.0000,18.82,557102768.00,,557.10,15827.75,12555.93,13327.98,3271.82,,10056.16,753.89,3.0736,0.7933,0.0488,0.0589,0.4233,0.7545,0.3074,9074.82,1863.20,1133.85,744.60,14.2,5.2,3.87,,,,,,,0.1620,0.1792,TWD
BIMAS,TREBIMM00018,BIM Birlesik Magazalar A.S.,Africa / Middle East,Consumer Staples Distribution and Retail,Consumer Staples,86647,10172.29,10729.45,559.5000,17.04,597000000.00,,597.00,5014.34,2653.56,3116.93,2360.78,,756.15,122.09,0.3203,0.5292,0.0189,0.0305,0.2434,0.2426,0.2412,11117.87,1717.85,140.31,522.67,18.1,3.9,3.92,0.5405,,,0.3,,,0.7530,0.6532,TRY
3045,TW0003045001,Taiwan Mobile Co. Ltd.,Asia / Pacific,Wireless Telecommunication Services,Communication Services,,9841.84,12768.38,106.0000,3.25,3024509811.00,,3024.51,7914.66,4872.64,6524.75,3042.03,,3482.72,431.44,1.1449,0.6156,0.0503,0.0619,0.1644,0.5338,0.1725,5972.63,1132.39,571.53,399.83,24.0,,0.91,,,,,,,0.1047,-0.0209,TWD
3231,TW0003231007,Wistron Corporation,Asia / Pacific,Technology Hardware Storage and Peripherals,Information Technology,,9385.18,11745.62,106.5000,3.27,2870631850.00,,2866.50,14736.82,10542.30,8514.06,4194.51,,4319.54,2450.71,1.0298,0.7154,0.0387,0.0652,0.1144,0.5073,0.1476,28244.74,2247.15,892.25,373.69,20.3,2.7,1.18,0.3770,,,,,,0.0593,0.1850,TWD
2688,KYG3066L1014,ENN Energy Holdings Limited,Asia / Pacific,Gas Utilities,Utilities,,9302.29,11951.29,66.3000,8.27,1124486775.00,,1124.49,14530.00,7730.42,10034.94,6799.57,,3235.37,1365.07,0.4758,0.5320,0.0549,0.0821,0.1669,0.3224,0.1648,16041.31,2020.06,1271.24,960.30,9.7,1.8,5.34,0.0728,0.0730,0.1270,0.6,5.1,,0.0689,0.1932,HKD
601238,CNE100001NQ2,Guangzhou Automobile Group Co. Ltd.,Asia / Pacific,Automobiles,Consumer Discretionary,96825,8964.51,8843.71,7.7300,1.06,10486911038.00,,3098.62,30769.36,13242.83,21782.55,17526.53,,4256.02,6888.78,0.2428,0.4304,-0.0147,-0.0201,0.0387,0.1954,0.0303,18274.14,1340.38,-674.18,623.98,15.8,0.7,1.55,0.0657,0.0294,0.0574,0.4,,,0.1057,-0.1649,CNY
2912,TW0002912003,President Chain Store Corporation,Asia / Pacific,Consumer Staples Distribution and Retail,Consumer Staples,,8760.59,10709.66,274.5000,8.43,1039622255.00,,1039.62,8383.36,6824.71,5224.04,1558.65,,3665.39,1593.90,2.3516,0.8141,0.0350,0.0564,0.3408,0.7016,0.2708,10327.77,3523.75,447.93,412.44,26.1,8.6,1.19,,0.0470,0.2430,0.9,,,0.1505,0.0440,TWD
SLM,ZAE000070660,Sanlam Limited,Africa / Middle East,Insurance,Financials,22320,8753.84,8353.55,80.2000,4.25,2060600000.00,,2060.60,54149.40,48851.46,6205.04,5297.93,,907.11,1769.06,0.1712,0.9022,0.0592,0.5156,0.1340,0.1462,0.1389,10500.79,6173.93,5152.67,791.53,14.0,2.0,2.35,,,,,,,0.0396,0.0448,ZAR
603986,CNE1000030S9,Giga Device Semiconductor Inc.,Asia / Pacific,Semiconductors and Semiconductor Equipment,Information Technology,1781,8643.25,7356.68,93.2000,12.96,666906348.00,,,2318.43,176.99,2157.83,2141.45,,16.38,1023.68,0.0076,0.0763,0.0036,0.0039,0.0106,0.0076,0.0106,811.64,246.04,13.58,22.70,292.0,4.2,3.21,1.1234,,,,,,0.4189,-0.1683,CNY
601808,CNE100000759,China Oilfield Services Limited,Asia / Pacific,Energy Equipment and Services,Energy,15472,8517.09,10229.84,16.7200,2.30,4771592000.00,,1811.12,11728.40,5774.99,8999.64,5953.41,,3046.23,921.28,0.5117,0.4924,0.0373,0.0475,0.0744,0.3385,0.0798,6214.41,985.50,675.26,424.53,19.0,1.5,1.23,0.1556,,,,,,0.0219,1.1174,CNY
2883,TW0002883006,China Development Financial Holding Corporation,Asia / Pacific,Insurance,Financials,13406,8507.62,,15.0500,0.46,18414323005.00,,16834.58,118842.01,110276.29,,8565.73,,13189.93,2373.60,,,0.0053,,0.0861,,0.0803,1725.51,1725.51,696.91,617.07,10.5,1.1,0.48,,,,,,0.0330,0.0607,0.1926,TWD
4938,TW0004938006,Pegatron Corporation,Asia / Pacific,Technology Hardware Storage and Peripherals,Information Technology,,8382.44,8187.77,102.5000,3.15,2663979353.00,,2664.35,18146.76,10927.47,10421.62,7219.29,,3202.33,3183.32,0.4436,0.6022,0.0155,0.0276,0.0846,0.3073,0.0798,40940.24,1501.93,480.57,511.86,16.9,1.4,2.31,0.2172,,,,,,-0.0095,0.0717,TWD
RADL3,BRRADLACNOR0,Raia Drogasil S.A.,Latin America and Caribbean,Consumer Staples Distribution and Retail,Consumer Staples,57700,8265.28,9465.51,26.4100,4.82,1715123861.00,,1714.38,4142.24,2899.57,2699.55,1242.67,,1456.88,85.00,1.1724,0.7000,0.0705,0.1070,0.1868,0.5397,0.1902,7003.32,2104.13,433.18,217.47,38.6,9.9,0.72,0.2432,,0.3080,0.8,,,0.2227,0.1599,BRL
A009540,KR7009540006,HD Korea Shipbuilding & Offshore Engineering Co. Ltd.,Asia / Pacific,Machinery,Industrials,,8034.19,8950.01,157500.0000,113.61,70714630.00,,70.71,24884.86,15337.60,12645.24,9547.26,,3097.98,2329.60,0.3245,0.6163,0.0057,0.0107,0.0226,0.2450,0.0116,16436.44,803.38,217.02,171.12,19.6,1.1,108.09,,,,,,,0.0545,,KRW
600703,CNE000000KB3,Sanan Optoelectronics Co.Ltd,Asia / Pacific,Semiconductors and Semiconductor Equipment,Information Technology,15439,7956.21,8120.62,11.9300,1.61,4951106213.00,,,8125.78,2729.27,6675.12,5396.51,,1278.61,1248.69,0.2369,0.3359,-0.0089,-0.0107,0.0096,0.1915,0.0096,1979.87,154.59,-116.22,51.64,230.0,1.8,1.11,,,,,,,0.1338,-0.3355,CNY
600377,CNE0000016S0,Jiangsu Expressway Company Limited,Asia / Pacific,Transportation Infrastructure,Industrials,4754,7923.99,12433.64,12.5700,1.74,5037747500.00,,1222.00,11082.51,5321.78,10464.16,5760.73,,4703.43,121.47,0.8165,0.4802,0.0418,0.0444,0.1339,0.4495,0.1169,2140.38,790.22,740.57,621.78,12.9,,0.95,,,,,,,0.1031,0.0017,CNY
A090430,KR7090430000,Amorepacific Corporation,Asia / Pacific,Personal Care Products,Consumer Staples,,7777.09,7177.59,176000.0000,126.96,68948429.00,,58.47,4543.22,782.46,4031.20,3760.76,,270.44,390.82,0.0719,0.1722,0.0116,0.0131,0.0315,0.0671,0.0360,2835.57,1944.09,83.49,139.00,72.8,2.3,54.77,0.4319,,,,10.0,,0.0185,-0.1152,KRW
PETGAS,MYL6033OO004,PETRONAS Gas Berhad,Asia / Pacific,Gas Utilities,Utilities,,7538.43,7522.64,18.1000,3.81,1978731915.00,,1978.73,4209.64,1199.34,3697.21,3010.30,,686.92,659.78,0.2282,0.2849,0.0729,0.0831,0.1363,0.1858,0.1397,1404.45,498.33,495.43,396.49,19.2,2.6,1.49,,,,,,,0.0112,0.0030,MYR
ALI,PHY0488F1004,Ayala Land Inc.,Asia / Pacific,Real Estate Management and Development,Real Estate,,7300.22,12608.91,29.0000,0.49,14787040390.00,,14942.18,15287.69,9510.72,10774.76,5776.98,,4997.78,308.17,0.8651,0.6221,0.0384,0.0545,0.0928,0.4638,0.0945,2687.93,1105.02,902.11,442.53,15.8,1.5,0.33,0.0817,,,,,,0.0483,-0.0347,PHP
SCC,TH0003010Z04,The Siam Cement Public Company Limited,Asia / Pacific,Construction Materials,Materials,55578,7297.01,17213.14,227.0000,6.08,1200000000.00,,1200.00,25963.93,13133.16,22639.45,12830.77,,9808.68,1266.87,0.7645,0.5058,0.0078,0.0088,0.0702,0.4333,0.0539,14517.41,2134.03,327.32,752.97,22.5,0.9,8.81,0.1305,,,,11.3,,0.0866,-0.1035,THB
SASA,TRASASAW91E4,Sasa Polyester Sanayi A.S.,Africa / Middle East,Chemicals,Materials,4208,7241.09,9312.64,44.2000,1.36,5321653794.00,,5195.66,5138.33,2909.46,4720.52,2228.87,,2491.65,178.09,1.1179,0.5662,0.0375,0.0424,0.3421,0.5278,0.3421,1567.84,294.68,256.01,615.81,7.5,2.7,0.43,,,,,,,1.0541,0.9803,TRY
RAIL3,BRRAILACNOR9,Rumo S.A.,Latin America and Caribbean,Ground Transportation,Industrials,,7082.64,9815.83,20.6000,3.83,1849513667.00,,1849.50,10149.95,6878.31,8186.71,3271.64,,4915.07,1491.21,1.5023,0.6777,0.0469,0.0584,0.0466,0.6004,0.0462,2254.69,845.02,736.95,148.35,35.1,3.8,1.75,0.6141,,0.1610,3.3,6.1,,0.1266,0.2218,BRL
000786,CNE000000QS4,Beijing New Building Materials Public Limited Company,Asia / Pacific,Building Products,Industrials,12786,6996.61,7121.63,30.6600,4.14,1689507842.00,,,4319.74,976.20,3780.61,3343.54,,437.07,80.44,0.1307,0.2260,0.0805,0.0948,0.1586,0.1156,0.1570,3159.56,942.57,541.54,496.49,13.5,2.8,1.95,0.1700,,,,,,0.1135,0.0740,CNY
000963,CNE0000011S1,Huadong Medicine Co. Ltd,Asia / Pacific,Health Care Providers and Services,Health Care,16969,6874.49,6689.51,29.4900,3.93,1750141748.00,,,4721.09,1680.39,3313.70,3040.70,,273.00,657.02,0.0898,0.3559,0.0694,0.0991,0.1433,0.0824,0.1397,5723.43,1853.47,505.78,399.96,16.9,2.9,1.69,0.1811,,,,,,0.1176,0.0460,CNY
601567,CNE100001567,Ningbo Sanxing Medical Electric Co.Ltd.,Asia / Pacific,Electrical Equipment,Industrials,,6461.48,6251.08,34.0700,4.58,1411197171.00,,,3030.94,1459.57,2064.19,1571.38,,492.82,768.26,0.3136,0.4816,0.0551,0.0813,0.1856,0.2387,0.1849,1614.94,545.38,234.46,268.21,23.3,5.1,1.10,,,,,,,0.0848,0.3024,CNY
SUNDARMFIN,INE660A01013,Sundaram Finance Limited,Asia / Pacific,Consumer Finance,Financials,,6296.02,,4862.6500,56.67,111103860.00,,110.21,7713.89,6384.37,6652.29,1329.52,,5322.77,180.34,4.0035,0.8276,0.0306,,0.1368,0.8001,0.1554,426.15,365.97,244.16,172.34,36.2,5.0,12.06,0.1800,,,,,,0.1380,0.0435,INR
BCI,CLP321331116,Banco de Crédito e Inversiones,Latin America and Caribbean,Banks,Financials,,6090.28,,26400.0000,27.86,218604259.00,,218.60,90113.92,83219.26,,6894.67,,31290.56,3507.50,,,0.0087,,0.1259,,0.1259,2410.28,2389.62,918.06,775.52,7.4,1.0,31.53,0.1043,,,,,0.1190,0.1391,0.1151,CLP
144,HK0144000764,China Merchants Port Holdings Company Limited,Asia / Pacific,Transportation Infrastructure,Industrials,7749,6085.45,18420.44,11.3800,1.45,4198009186.00,,4198.01,22067.38,6591.37,20277.16,15476.00,,4801.15,1579.17,0.3102,0.2987,0.0136,0.0148,0.0603,0.2368,0.0607,1470.44,660.17,479.60,822.69,7.2,1.3,3.12,0.0266,,,,,,0.0425,-0.0238,HKD
601058,CNE1000015F7,Sailun Group Co. Ltd.,Asia / Pacific,Automobile Components,Consumer Discretionary,18155,5909.00,6444.67,14.0000,1.87,3153373031.00,,,4751.57,2576.38,3438.65,2175.19,,1263.46,734.88,0.5808,0.5422,0.0777,0.1042,0.2284,0.3674,0.2271,3660.04,988.35,554.90,435.55,11.3,2.7,0.69,,,,,,,0.1714,0.3585,CNY
