Ticker,ISIN,Name,Trading Region,Industry,Sector,Total Employees (FY),Market Cap,Enterprise Value,Price (1D Ago),Market Value,Shrs Out,Shares Out,Common Shares Outstanding (FY),Total Assets (FY),Total Liabilities (FY),Total Capital (FY),Total Equity (FY),Leverage Ratio % (FY),Total Debt (FY),Cash And Equivalents (FY),Total Debt / Equity (FY),Total Liabilities / Total Assets (FY),Return on Assets (ROA) % (FY),Return on Capital (ROC) % (FY),Return on Common Equity (ROCE) % (FY),Total Debt to Capital % (FY),Return On Equity % (FY),Total Revenues (FY),Gross Profit (FY),Operating Income (FY),Net Income - (IS) (FY),P/E (LTM),P/TBV (LTM),Book Value / Share (FY),EPS 5Y Fwd Growth (NTM),ROA - Est High (FY5E),ROE - Est High (FY5E),EV/Sales (EST FY5),EV/EBIT (EST FY6),Total Equity/CAGR (5Y FY),Total Assets/CAGR (5Y FY),Net Income/CAGR (5Y FY),Unit
ATCOA,SE0017486889,Atlas Copco AB,Europe,Machinery,Industrials,52778,86891.87,88636.7,199.55,18.69,4872869024,,,18116.08,9042.37,12317.34,9073.71,,3243.63,1079.62,0.3575,0.4991,0.1343,0.1981,0.3271,0.2633,0.3271,17122.43,7449.07,3780.91,2780.62,32.4,29,1.86,0.1026,0.184,0.321,4,15.2,,0.1282,-0.2338,SEK
4063,JP3371200001,Shin-Etsu Chemical Co. Ltd.,Asia / Pacific,Chemicals,Materials,26004,76613.89,67074.71,6199,38.55,1987598517,,1996.05,34013.7,4782.97,29391.28,29230.73,,160.55,11225.63,0.0055,0.1406,0.0887,0.103,0.1278,0.0055,0.1338,15955.98,6020.54,4631.9,3436.67,22.5,2.7,14.11,0.0654,0.1586,0.1387,3.3,,,0.1112,0.1097,JPY
AON,IE00BLP1HW54,Aon plc,United States and Canada,Insurance,Financials,50000,63663.73,74789.73,288.77,292.8,217430759,,,33959,34701,11290,-742,,12032,738.4,,1.0218,0.0757,0.2238,,1.0657,,13376,6376,4036,2564,23,,-4.16,0.1037,,,,,,0.0515,0.1772,USD
WDAY,US98138H1014,Workday Inc.,United States and Canada,Software,Information Technology,18800,59255.44,55417.44,216.78,223.36,265291194,,,16452,8370,11378,8082,,3296,2012,0.4078,0.5088,0.0076,0.0113,0.2021,0.2897,0.2021,7259,5488,183,1381,40.2,13.1,30.63,0.3104,0.074,,3.7,10.6,,0.2441,,USD
INGA,NL0011821202,ING Groep N.V.,Europe,Banks,Financials,60000,56100.68,,15.85,17.06,3287786677,,3343.59,1082246.63,1020833.52,,61413.12,,243847.43,10507.84,,,0.0045,,0.0745,,0.0777,19460.15,19460.15,6984.69,4570.55,13.4,1,18.06,0.0188,0.005,0.103,,,0.0222,0.0208,-0.0252,EUR
CPG,GB00BD6K4575,Compass Group PLC,Europe,Hotels Restaurants and Leisure,Consumer Discretionary,550000,47315.25,52503.59,21.95,27.82,1701005691,,1714.66,21472.32,15175.8,11736.57,6296.51,,5440.06,1028.48,0.864,0.7068,0.0659,0.1165,0.2387,0.4635,0.2382,37854.72,2380.26,2337.55,1603.1,27.2,,3.65,0.1235,0.093,0.218,1,12.1,,0.0683,0.0306,GBP
KMI,US49456B1017,Kinder Morgan Inc.,United States and Canada,Oil Gas and Consumable Fuels,Energy,10891,43855.04,77253.04,19.74,19.76,2219384484,,,71020,39291,64408,31729,,32679,83,1.0299,0.5532,0.0376,0.0412,0.0779,0.5074,0.0779,15334,7589,4248,2391,18.1,5.2,13.65,0.0586,0.051,0.11,3.7,,,-0.0207,0.0824,USD
SE,US81141R1005,Sea Limited,United States and Canada,Entertainment,Communication Services,62700,42794.07,41653.07,74.9,74.51,574340007,,,18883.23,12185.65,11159.96,6697.59,,4462.38,2811.06,0.6663,0.6453,0.0119,0.0199,0.0245,0.3999,0.026,13063.56,5833.65,342.65,150.73,,6.6,11.52,0.532,0.073,0.146,1.7,11.6,,0.5382,,USD
AMP,US03076C1062,Ameriprise Financial Inc.,United States and Canada,Capital Markets,Financials,13800,42743.49,39429.49,433.88,430.34,99324923,,100.17,175191,170462,8959,4729,,4230,7477,0.8945,0.973,0.021,0.4264,0.5992,0.4722,0.5992,16096,9422,5613,2556,14.6,8.8,47.21,0.1676,0.032,,,,,0.0501,0.0403,USD
LONN,CH0013841017,Lonza Group AG,Europe,Life Sciences Tools and Services,Health Care,18000,39059.58,40755.19,486.3,541.62,72116589,,72.12,20031.39,8722.12,15033.05,11309.27,,3723.78,1745.37,0.3293,0.4354,0.05,0.0661,0.0652,0.2477,0.0649,7986.16,2857.04,1627.67,777.57,51.3,7,155.83,0.1725,0.0935,0.171,3.3,12.9,,0.0389,0.0319,CHF
G,IT0000062072,Assicurazioni Generali S.p.A.,Europe,Insurance,Financials,81879,38514.53,52019.45,23.35,24.94,1544548280,,1542.35,561504.75,526967.32,53717.16,34537.43,,19179.73,7805.26,0.5553,0.9385,0.0083,0.0891,0.1317,0.357,0.134,63153.01,11253.04,7376.9,4136.67,9.5,1.8,20.74,0.0737,0.008,0.13,,4.4,,-0.0028,0.1017,EUR
HSY,US4278661081,The Hershey Company,United States and Canada,Food Products,Consumer Staples,19578,37145.46,42321.78,183.05,183.68,202229200,,149.78,11902.94,7803.85,9224.7,4099.09,,5125.61,401.9,1.2504,0.6556,0.1385,0.1794,0.5033,0.5556,0.5033,11164.99,4998.34,2532.22,1861.79,18.2,,20.05,0.0265,0.162,0.421,3.2,13.8,,0.0909,0.0959,USD
GEHC,US36266G1076,GE HealthCare Technologies Inc.,United States and Canada,Health Care Equipment and Supplies,Health Care,51000,35978.6,43286.6,78,78.82,456465369,,455.34,32454,25144,17173,7310,,9863,2494,1.3492,0.7748,0.0615,0.1042,0.1685,0.5743,0.1915,19552,7922,2950,1568,22.9,,15.67,0.0851,,,1.6,,,,,USD
FANG,US25278X1090,Diamondback Energy Inc.,United States and Canada,Oil Gas and Consumable Fuels,Energy,1023,35524.29,42521.29,196.96,199.19,178343733,,178.72,29001,11571,24234,17430,,6804,582,0.3904,0.399,0.0983,0.1171,0.1973,0.2808,0.2014,7959,6689,4342,3143,11.2,2.1,93.02,-0.0033,0.053,0.136,2.9,5.5,,0.0607,0.3002,USD
EQT,SE0012853455,EQT AB (publ),Europe,Capital Markets,Financials,1820,34422.81,35502.39,310.8,29.09,1183330760,,1183.59,10165.93,3537.98,8997.46,6627.95,,2369.51,1229.85,0.3575,0.348,0.0475,0.0535,0.0224,0.2634,0.0224,2301.28,1522.63,789.47,143.41,225.2,43.1,5.59,0.2212,,,,,,0.7728,0.0145,SEK
CDW,US12514G1085,CDW Corporation,United States and Canada,Electronic Equipment Instruments and Components,Information Technology,15100,30113.14,35493.94,223.13,224.06,134397680,,134.1,13284.6,11242.1,8316.3,2042.5,,6273.8,588.7,3.0716,0.8462,0.0832,0.1327,0.6058,0.7544,0.6058,21376,4652.4,1758.6,1104.3,28,,15.23,0.0702,,,,,,0.1313,0.1142,USD
XEL,US98389B1008,Xcel Energy Inc.,United States and Canada,Electric Utilities,Utilities,11311,29921.18,58068.18,53.79,53.85,555639439,,554.94,64079,46463,45211,17616,,27595,129,1.5665,0.7251,0.0261,0.0371,0.1033,0.6104,0.1033,14206,5934,2613,1771,16.2,1.7,31.74,0.0636,0.033,0.111,3.1,,,0.0686,0.0703,USD
8053,JP3404600003,Sumitomo Corporation,Asia / Pacific,Trading Companies and Distributors,Industrials,,29688.24,49850.13,3947,24.54,1209650844,,1221.94,72894.5,42023.65,55362.7,30870.86,,24491.85,4412.63,0.7934,0.5765,0.0245,0.0324,0.0939,0.4424,0.0985,45657.76,8870.09,2741.29,2552.71,11.8,1.1,24.04,0.1444,0.046,0.1,1,,,0.0686,0.0381,JPY
LISP,CH0010570767,Chocoladefabriken Lindt & Sprüngli AG,Europe,Food Products,Consumer Staples,14500,26785.32,27834.84,10430,11604.49,231201,,0.13,9345.13,4283.06,6733.49,5062.06,,1671.42,549.53,0.3302,0.4583,0.0654,0.0899,0.1551,0.2482,0.1551,6219.98,4191.52,982.9,798.26,34.1,7.5,22006.1,0.0815,0.1119,0.1545,3.4,17.6,,0.0163,0.0672,CHF
NTR,CA67077M1086,Nutrien Ltd.,United States and Canada,Chemicals,Materials,25900,25705.99,38743.78,71.45,51.96,494688615,,494.55,52749,27548,37767,25201,,12566,941,0.4986,0.5222,0.0414,0.0588,0.0494,0.3327,0.0502,28082,8474,3553,1258,30.5,2.4,50.87,-0.0325,0.047,0.086,,,,0.03,-0.1884,CAD
TCL,AU000000TCL6,Transurban Group,Asia / Pacific,Transportation Infrastructure,Industrials,1900,25321.11,36985.45,12.32,8.19,3092175553,,,25123.22,16278.14,21396.7,8845.08,,12551.62,1386.04,1.4191,0.6479,0.0163,0.0191,0.0047,0.5866,0.0065,2768.75,1515.92,665.38,42.63,163.1,,2.72,1.1142,0.0751,0.17,11.8,22.3,,0.0736,-0.3331,AUD
PHIA,NL0000009538,Koninklijke Philips N.V.,Europe,Health Care Equipment and Supplies,Health Care,69656,23858.21,30118.91,24.06,25.58,932766116,,914.11,32464.12,19148.82,21803.93,13315.3,,8488.63,2063.37,0.6375,0.5898,0.0087,0.0126,-0.0361,0.3893,-0.0358,20058.51,8222.57,460.37,-514.46,,,14.53,0.1711,0.041,,1.2,,,0.0248,,EUR
CCL,PA1436583006,Carnival Corporation & plc,United States and Canada,Hotels Restaurants and Leisure,Consumer Discretionary,106000,23312.46,52319.46,18.37,18.61,1267121360,,1120,49120,42238,38789,6882,,31907,2415,4.6363,0.8599,0.0241,0.0297,-0.0106,0.8226,-0.0106,21593,10702,1944,-74,26,4.6,5.44,,0.065,0.213,1.8,,,0.0299,,USD
ORSTED,DK0060094928,Ørsted A/S,Europe,Electric Utilities,Utilities,8905,22726.79,30290.77,388.8,54.08,420230296,,420.23,41638.61,30117.11,24561.86,11521.5,,13040.36,1502.56,1.1318,0.7233,0.0267,0.0478,-0.2516,0.5309,-0.2329,11738.33,4832.93,1886.46,-3037.11,,2.8,20.01,0.1985,0.035,0.11,1.9,9.7,,0.1,,DKK
SAMPO,FI4000552500,Sampo Oyj,Europe,Insurance,Financials,13450,21319.04,23244.34,39.47,42.54,501144998,,,26744.31,18257.89,11816.07,8486.42,,3329.65,1515.79,0.3923,0.6827,0.0314,0.0814,0.127,0.2818,0.1278,9132.26,3664.16,1761.98,1460.59,16.9,5.1,15.98,0.065,0.06,0.214,2.6,9.9,,-0.1326,-0.0474,EUR
SBAC,US78410G1040,SBA Communications Corporation,United States and Canada,Specialized REITs,Real Estate,1787,21160.9,35389.71,193.57,196.95,107443014,,,10178.44,15314.28,9327.63,-5135.84,,14463.47,208.55,,1.5046,0.0647,0.0698,,1.5506,,2711.58,2077.29,1075.14,501.81,38.6,,-47.86,0.1942,0.078,,11.1,18.1,,0.0713,0.6027,USD
ALL,AU000000ALL7,Aristocrat Leisure Limited,Asia / Pacific,Hotels Restaurants and Leisure,Consumer Discretionary,7800,20734.61,20688.35,49.43,32.85,631099079,,648.56,7021.28,2697.48,6047.83,4323.8,,1724.03,2025.58,0.3987,0.3842,0.1003,0.1158,0.2281,0.2851,0.2281,4047.12,2281.56,1085.05,934.75,21.6,12.1,6.67,0.1053,0.178,0.461,3.6,,,0.1331,0.2179,AUD
LPLA,US50212V1008,LPL Financial Holdings Inc.,United States and Canada,Capital Markets,Financials,8400,20649.86,23608.37,274.9,276.41,74707363,,74.65,10385.48,8306.5,6042.03,2078.98,,3963.05,465.67,1.9062,0.7998,0.1082,0.1927,0.5022,0.6559,0.5022,10052.85,3057.48,1719.68,1066.25,20.9,,27.85,0.1581,0.093,0.229,1.7,8.5,,0.1365,0.194,USD
9613,JP3165700000,NTT DATA Group Corporation,Asia / Pacific,IT Services,Information Technology,193513,20578.65,39346.64,2360.5,14.68,1402024382,,1402.02,47700.22,29329.47,34568.4,18370.76,,16197.65,2852.82,0.8817,0.6149,0.0289,0.0402,0.0844,0.4686,0.0562,28856.21,7895.38,2045.25,884.5,23.3,,8.1,0.1488,0.025,0.094,1.2,,,0.2386,0.0742,JPY
BFB,US1156372096,Brown-Forman Corporation,United States and Canada,Beverages,Consumer Staples,5700,20509.76,23260.76,43.43,43.36,472659966,,,8166,4649,6714,3517,,3197,446,0.909,0.5693,0.0898,0.1103,0.3018,0.4762,0.3018,4178,2526,1145,1024,20.3,19.1,7.44,-0.0126,0.131,0.263,4.3,12.2,,0.097,0.0417,USD
8015,JP3635000007,Toyota Tsusho Corporation,Asia / Pacific,Trading Companies and Distributors,Industrials,,20485.51,28357.2,3119,19.39,1056268203,,1055.62,46646.81,29335.22,31187.04,17311.59,,13875.45,5805.78,0.8015,0.6289,0.0417,0.0629,0.1513,0.4449,0.1451,67320.65,6953.25,2959.56,2189.92,9.3,1.4,15.44,0.0646,0.052,0.126,0.3,,,0.0971,0.201,JPY
TSN,US9024941034,Tyson Foods Inc.,United States and Canada,Food Products,Consumer Staples,139000,20094.04,28898.04,56.9,56.44,356024886,,,36251,17996,28290,18255,,10035,573,0.5497,0.4964,0.0086,0.011,-0.0343,0.3547,-0.0341,52881,2660,503,-648,,9,50.94,0.5392,0.083,0.165,0.5,,,0.0449,,USD
4452,JP3205800000,Kao Corporation,Asia / Pacific,Personal Care Products,Consumer Staples,34257,19418.86,19663.68,6718,41.77,464864663,,464.87,12552.73,5374.35,9030.15,7178.37,,1851.77,2068.75,0.258,0.4281,0.0358,0.0495,0.0449,0.2051,0.046,10870.51,3975.08,710.78,311.17,52.9,4.3,15.01,0.292,0.081,0.136,1.8,16.4,,0.0391,-0.2218,JPY
BALL,US0584981064,Ball Corporation,United States and Canada,Containers and Packaging,Materials,21000,18957.87,23460.87,60.66,61.08,310377752,,315.69,19303,15466,12858,3837,,9021,695,2.3511,0.8012,0.0455,0.0692,0.1956,0.7016,0.1931,14029,2670,1426,707,29.4,10,11.94,0.14,0.062,0.222,1.6,,,0.0312,0.0926,USD
IOT,US79589L1061,Samsara Inc.,United States and Canada,Software,Information Technology,2895,17972.8,17221.48,31.15,32.63,550806158,,,1734.85,819.7,1014.64,915.15,,99.49,135.54,0.1087,0.4725,-0.0932,-0.1505,-0.3094,0.0981,-0.3094,937.38,690.35,-249.92,-286.73,,19.5,1.68,0.8026,,,5.8,,,,,USD
MOH,US60855R1005,Molina Healthcare Inc.,United States and Canada,Health Care Providers and Services,Health Care,18000,17745.84,15614.84,304.24,302.83,58600000,,58,14892,10677,6726,4215,,2511,4848,0.5957,0.717,0.0743,0.1655,0.3039,0.3733,0.3039,33003,4334,1618,1091,16.4,6.9,72.67,0.1212,,,,,,0.1579,0.0906,USD
REA,AU000000REA9,REA Group Limited,Asia / Pacific,Interactive Media and Services,Communication Services,3307,17243.29,17365.46,196.36,130.52,132117217,,132.12,1749.43,739.04,1278.94,1010.39,,268.55,173.04,0.2658,0.4224,0.1303,0.1796,0.2572,0.21,0.2393,927.4,580.92,360.73,237.18,89.8,46.9,7.39,0.2049,0.184,0.287,12.9,,,0.0873,0.0709,AUD
TXT,US8832031012,Textron Inc.,United States and Canada,Aerospace and Defense,Industrials,35000,16464.95,18984.95,86.54,86.34,190698993,,192.9,16856,9869,11242,6987,,4255,2121,0.609,0.5855,0.0481,0.0715,0.1308,0.3785,0.1308,13683,2263,1275,921,18.4,3.5,36.22,0.1005,0.077,,1.1,,,0.034,-0.055,USD
DGX,US74834L1008,Quest Diagnostics Incorporated,United States and Canada,Health Care Providers and Services,Health Care,44000,15257.32,20249.32,138.6,137.34,111091574,,111,14022,7604,11916,6418,,5498,686,0.8567,0.5423,0.0621,0.0737,0.1393,0.4614,0.1462,9252,3069,1334,854,18.5,,56.82,0.0525,0.085,,1.9,,,0.0497,0.0302,USD
9503,JP3228600007,The Kansai Electric Power Company Incorporated,Asia / Pacific,Electric Utilities,Utilities,,15189.83,37619.8,2737,17.02,892525761,,892.47,59682.31,44266.07,42129.53,15416.23,,26713.3,3276.76,1.7328,0.7417,0.0512,0.0689,0.2176,0.6341,0.2149,26821.13,4816.23,4816.23,2919.52,5.2,1,16.83,0.741,,0.1,1.3,12.8,,0.0447,0.3088,JPY
BURL,US1220171060,Burlington Stores Inc.,United States and Canada,Specialty Retail,Consumer Discretionary,44051,15042.93,19117.87,239.31,238.31,63123360,,63.39,7706.84,6709.91,5801.77,996.93,,4804.83,925.36,4.8196,0.8706,0.047,0.0623,0.3791,0.8282,0.3791,9718.15,4134.09,563.29,339.65,40,20.2,15.73,0.2456,0.095,0.359,1.2,,,0.2014,-0.0392,USD
8308,JP3500610005,Resona Holdings Inc.,Asia / Pacific,Banks,Financials,,15019.23,,1045.5,6.5,2310289784,,2329.87,503144.28,484788.36,,18355.92,,40868.37,137020.63,,,0.0021,,0.0602,,0.0596,5516.03,5516.03,1491.03,1050.08,14.5,0.8,7.83,0.0549,0.002,0.069,,,0.0335,0.052,-0.0193,JPY
KPN,NL0000009082,Koninklijke KPN N.V.,Europe,Diversified Telecommunication Services,Communication Services,8713,15008.69,21485.57,3.549,3.82,3930526687,,3943.91,13527.27,9595.94,11714.51,3931.33,,7783.18,672.33,1.9798,0.7094,0.0705,0.0816,0.2225,0.6644,0.2335,6004.64,3228.09,1506.96,931.77,18.7,16.2,0.72,0.0881,0.079,0.281,3.5,,,-0.0118,0.246,EUR
RTO,GB00B082RF11,Rentokil Initial plc,Europe,Commercial Services and Supplies,Industrials,62931,14807,18853.66,4.608,5.9,2511539885,,2509.54,14184.82,8973.39,11305.02,5211.43,,6093.6,1991.25,1.1693,0.6326,0.0394,0.0493,0.0931,0.539,0.0931,6852.11,5670.36,926.79,485.7,30.7,,2.08,0.0806,0.081,0.209,2.1,11.2,,0.2928,,GBP
RIVN,US76954A1034,Rivian Automotive Inc.,United States and Canada,Automobiles,Consumer Discretionary,16790,14402.29,11527.29,14.74,14.47,995320346,,,16778,7637,14060,9141,,4919,7857,0.5381,0.4552,-0.207,-0.2434,-0.4736,0.3499,-0.4736,4434,-2030,-5739,-5432,,1.8,9.44,,0.1582,0.3175,0.4,53.2,,,,USD
CG,US14316J1088,The Carlyle Group Inc.,United States and Canada,Capital Markets,Financials,2200,14355.63,,39.6,39.89,359880497,,361.33,21176,15391.5,15040.1,5784.5,,9255.6,1786.3,1.6001,0.7268,-0.0233,,-0.1066,0.6154,-0.0788,2421,1317.3,-607.6,-608.4,,3.3,14.37,0.091,0.058,0.197,,,,0.104,,USD
TOST,US8887871080,Toast Inc.,United States and Canada,Financial Services,Financials,5500,14278.8,13204.8,25.72,25.72,555163241,,,1958,764,1238,1194,,44,605,0.0369,0.3902,-0.0965,-0.1476,-0.2147,0.0355,-0.2147,3865,839,-287,-246,,13.4,2.2,,0.189,,1.4,,,,,USD
SUN,AU000000SUN6,Suncorp Group Limited,Asia / Pacific,Insurance,Financials,13000,14207.32,29512.74,16.8,11.17,1272316092,,1266.54,76583.86,67694.15,27086.05,8889.7,,18196.35,3705.87,2.0469,0.8839,0.0193,0.0547,0.0881,0.6718,0.0887,12224.59,4229.39,2271.88,764.62,17.9,2.5,7,0.0469,0.034,0.1173,3.2,,,0.0297,0.0163,AUD
JBL,US4663131039,Jabil Inc.,United States and Canada,Electronic Equipment Instruments and Components,Information Technology,236000,13014.86,13817.86,112.24,107.92,120597316,,131.29,19424,16557,6401,2867,,3534,1804,1.2326,0.8524,0.0514,0.1599,0.3077,0.5521,0.3076,34702,2867,1609,818,9.9,8.9,21.83,0.0713,,,,,,0.1003,0.5679,USD
DVA,US23918K1088,DaVita Inc.,United States and Canada,Health Care Providers and Services,Health Care,70000,12405.54,25601.27,142.16,141.45,87702623,,88.82,16893.58,14150.23,13859.77,2743.35,,11116.42,380.06,4.0521,0.8376,0.0592,0.0717,0.7821,0.8021,0.3852,12140.15,3820.43,1601,691.53,16.1,,11.89,0.1403,0.045,,1.7,,,-0.0244,0.3411,USD
ACM,US00766T1007,AECOM,United States and Canada,Construction and Engineering,Industrials,52000,12100.36,13938.39,88.59,88.89,136127400,,136.21,11233.4,8849.69,5275.19,2383.71,,2891.47,1260.21,1.213,0.7878,0.0446,0.0921,0.0487,0.5481,0.0631,14378.46,945.47,797.89,55.33,104.7,,16.24,0.1583,0.078,0.324,,,,-0.0521,-0.1652,USD
8697,JP3183200009,Japan Exchange Group Inc.,Asia / Pacific,Capital Markets,Financials,1249,11896.42,10801.15,3677,22.86,520313972,,520.31,533086.4,530849.44,2583.71,2236.97,,346.75,845.85,0.155,0.9958,0.0007,0.1404,0.1897,0.1342,0.1876,1010.05,1010.05,568.33,401.86,29.6,8,4.17,,0.001,0.14,9.3,17.7,,0.0833,0.0439,JPY
SJM,US8326964058,The J. M. Smucker Company,United States and Canada,Food Products,Consumer Staples,9000,11538.12,20035.22,107.69,108.65,106195350,,106.19,20273.7,12579.8,16253,7693.9,,8559.1,62,1.1125,0.6205,0.0514,0.0648,0.0993,0.5266,0.0993,8178.7,3118.3,1450.6,744,15.2,,72.45,0.0565,0.0615,0.1338,2.1,,,0.0394,0.0766,USD
4755,JP3967200001,Rakuten Group Inc.,Asia / Pacific,Broadline Retail,Consumer Discretionary,30830,11394.26,11318.75,852.9,5.3,2148476989,,2142.14,160482.15,152766.98,41727.11,7715.17,,34011.94,36370.35,4.4085,0.9519,-0.0051,-0.0188,-0.4114,0.8151,-0.3365,14691.74,-1160.72,-1242.31,-2407.87,,,2.77,,0.005,0.228,0.6,,,0.2523,,JPY
CON,DE0005439004,Continental Aktiengesellschaft,Europe,Automobile Components,Consumer Discretionary,202763,11361.64,17646.96,53.12,56.81,200005983,,200.01,41678.96,26084.9,23509.94,15594.06,,7915.88,3227.2,0.5076,0.6259,0.0319,0.0564,0.0859,0.3367,0.0857,45728.09,9723.89,2129.06,1276.66,14.5,1.1,75.49,0.1653,0.065,0.154,0.3,,,-0.0137,-0.1678,EUR
2801,JP3240400006,Kikkoman Corporation,Asia / Pacific,Food Products,Consumer Staples,,11093.08,10767.57,1875,11.66,951467115,,951.47,4412.8,1120.73,3687.9,3292.06,,395.84,787.31,0.1202,0.254,,,,0.1073,,4366.27,1511.21,440.93,372.92,29.8,3.5,3.41,0.077,0.095,0.128,2,,,,,JPY
AGN,BMG0112X1056,Aegon Ltd.,Europe,Insurance,Financials,15658,10810.96,11880.09,5.896,6.17,1751952368,,1742.41,332944.36,322395.67,16006.84,10548.69,,5458.16,4497.68,0.5174,0.9683,-0.0001,-0.0024,-0.0208,0.341,-0.0178,14323.25,5703.25,-69.55,-197.62,,1.4,4.76,0.1242,0.002,,0.7,7.7,,-0.0511,,EUR
BXP,US1011211018,Boston Properties Inc.,United States and Canada,Office REITs,Real Estate,836,10781,27482.91,61.09,61.18,157058652,,156.94,26026.15,17842.17,24808.63,8183.98,,16624.65,1531.48,2.0314,0.6855,0.0253,0.0265,0.0317,0.6701,0.0352,3236.2,2015.71,1015.54,190.22,50.1,1.6,37.45,0.0054,0.02,0.069,7.5,22.5,,0.0514,-0.2006,USD
